Feature,Correlation,Abs_Correlation
Sol_Heuristic_1,0.8633410199639842,0.8633410199639842
MolLogP,-0.8133738772376605,0.8133738772376605
Z_Score_LogP,-0.8133738772376605,0.8133738772376605
MolLogP_abs,-0.8104236579515223,0.8104236579515223
MW_LogP_Interaction,-0.7860819354577641,0.7860819354577641
MolLogP_squared,-0.7528044396857871,0.7528044396857871
MolLogP_signed_sqrt,-0.6784559697177789,0.6784559697177789
MolWt_log,-0.6475883777456803,0.6475883777456803
Z_Score_MolWt,-0.6300960609374798,0.6300960609374798
MolWt,-0.6300960609374798,0.6300960609374798
Aromatic_Score,-0.5747904381253335,0.5747904381253335
Lipinski_LogP,0.5559848172777581,0.5559848172777581
MolWt_squared,-0.543083645698701,0.543083645698701
Lipinski_Score,0.5360407699805304,0.5360407699805304
MW_Aromatic_Interaction,-0.49245490419804927,0.49245490419804927
LogP_Rotatable_Interaction,-0.42344302005785983,0.42344302005785983
MolWt_cubed,-0.4040029595513783,0.4040029595513783
LogP_per_MW,-0.3990939228243677,0.3990939228243677
Sol_Heuristic_2,0.38567791179921274,0.38567791179921274
Polarity_Estimate,0.3825997850173606,0.3825997850173606
Complexity_Score,-0.35385152009893706,0.35385152009893706
MW_per_RotatableBond,-0.32904206285818827,0.32904206285818827
NumRotatableBonds,-0.268076899171766,0.268076899171766
AromaticProportion,-0.2407677444315903,0.2407677444315903
Aromatic_Index,-0.24076774443159,0.24076774443159
Rigidity_Score,0.15081618834436927,0.15081618834436927
Flexibility_Index,-0.12251685017491701,0.12251685017491701
Lipinski_MW,0.0900716524599628,0.0900716524599628
