Feature,F_Score,F_pValue,MI_Score,Combined_Score
Sol_Heuristic_1,3301.743503766149,0.0,0.8771159021533279,2.0
Z_Score_LogP,2205.1074244192955,1.2037144244261408e-267,0.784311866856009,1.5620556192059323
MolLogP,2205.1074244192955,1.2037144244261408e-267,0.7836247245667529,1.5612722081566408
MolLogP_abs,2158.5840581469615,3.350216986819297e-264,0.7385305042519454,1.4957697340934648
MW_LogP_Interaction,1824.2984672066864,6.485285457594877e-238,0.8041282994124637,1.4693126197124733
MolLogP_squared,1475.3644411127782,4.358365487508087e-207,0.7353971981288407,1.2852705302510568
MolLogP_signed_sqrt,962.0597203946029,2.9960289214350737e-153,0.7648786977704201,1.163417645688476
Polarity_Estimate,193.43509966803822,1.0548990743113706e-40,0.7297271483931316,0.8905477989603194
MolWt_log,814.7197586861387,2.5285015635654828e-135,0.5167155359682787,0.8358618832878406
Z_Score_MolWt,742.7120580807241,4.6357031622839255e-126,0.47238283552291405,0.763509170533187
MolWt,742.7120580807238,4.635703162284452e-126,0.47225075772548974,0.7633585886122571
MolWt_squared,471.86349244265597,1.0951389707227884e-87,0.45436988038650084,0.6609406145010328
LogP_Bin_H,919.8715225058362,2.9964882374037087e-148,0.3188112736944273,0.642078542582938
Aromatic_Score,556.5476817377778,2.4051962171134617e-100,0.3698868050952373,0.5902697696045798
MolWt_cubed,220.02197886237587,1.3200654345578417e-45,0.4301759368518354,0.5570817837657163
LogP_Bin_M,560.3470096366339,6.735152215234644e-101,0.2639220101200095,0.4706099910572408
MW_Aromatic_Interaction,361.13217215532245,4.4679846229104174e-70,0.2949059579456925,0.4455985407770896
LogP_Rotatable_Interaction,246.443140887731,2.2181035857119727e-50,0.3239092609861016,0.44392931213670006
LogP_per_MW,213.70065955775232,1.8930567693098527e-44,0.2835637956095134,0.3880147150114048
Lipinski_LogP,504.6982376075278,1.130219075251932e-92,0.18397591682449077,0.36260907599960657
Lipinski_Score,454.8018078295144,4.691463665602787e-85,0.17267513512041277,0.33461290674986177
Sol_Heuristic_2,197.10616524574502,2.1889905436828568e-41,0.2281194996620477,0.3197766838487158
MW_per_RotatableBond,136.95500785982654,6.12795792832485e-30,0.22805084440008683,0.3014804117182911
Complexity_Score,161.45364977387737,1.1421430240564385e-34,0.20465791427574143,0.28223003850591055
Flexibility_Index,17.18973141071943,3.636013088776791e-05,0.2183838663474682,0.2541857447206138
Aromatic_Index,69.41295969476792,2.2950757875001425e-16,0.19648891822763748,0.2450401744738821
AromaticProportion,69.41295969476789,2.2950757875004684e-16,0.19204629682192165,0.23997514099904807
MW_Bin_M,207.74629709004947,2.353587406354352e-43,0.09199274249033373,0.1678011229495962
NumRotatableBonds,87.34073392101594,4.7340197684816615e-20,0.11117262016629814,0.15320083760660008
MW_Bin_L,83.93478881942765,2.3467769125454593e-19,0.09852398034409715,0.13774856147088652
Rigidity_Score,26.254113092505467,3.5187382709041155e-07,0.10397683834948657,0.1264956031106505
LogP_Bin_VH,65.75655686439772,1.320247815014552e-15,0.030124818598995295,0.05426101837656763
LogP_Bin_L,62.033146343891836,7.896820984222467e-15,0.020959048824132243,0.042683412174685145
Rotatable_Bin_L,22.08607221279462,2.9283281831394863e-06,0.02263001747838489,0.032489702066516545
Rotatable_Bin_M,29.151999726154127,8.15486160976748e-08,0.01266595932013137,0.0232697370315572
Rotatable_Bin_H,23.4635917956637,1.4504265482540814e-06,0.00864386407429385,0.016961295770264236
Lipinski_MW,9.226205412372284,0.0024405868952589406,0.007755784247158282,0.011636714508506401
MW_Bin_H,9.995402331824152,0.0016111437304536294,0.007069452468213666,0.011087194413320388
MW_Bin_VH,1.4542362009613887,0.22810231465332556,0.005009510917151516,0.006151789244614428
Rotatable_Bin_VH,7.207022707773142,0.007368313306727322,0.0,0.0021827930302739805
