Model,CV_R2_mean,CV_R2_std,CV_RMSE_mean,CV_RMSE_std,CV_MAE_mean,CV_MAE_std,Test_R2,Test_RMSE,Test_MAE,Test_R2_adj
MLP Regressor,0.8465620579149291,0.028635989332370198,0.7752736656041538,0.07228332062990506,0.5625879049809934,0.03430072091080809,0.8891161949208288,0.6694617969974272,0.5033212434699361,0.8811959231294595
Random Forest,0.8436273938611137,0.020047678900922503,0.7837396774869615,0.04082298324424068,0.5580616856805372,0.03597036234488285,0.8867974659150295,0.6764252533445414,0.5159024085912861,0.8787115706232459
LightGBM,0.8396213465883251,0.02355819691746014,0.7934898467082698,0.053102130567642666,0.5794383170613363,0.034261423503092164,0.8784847626665119,0.7008210022064932,0.5303534982584849,0.869805102856977
K-Nearest Neighbors,0.8378080407708787,0.021472134132024,0.7988563419735297,0.0554704295767111,0.585742159607121,0.042767141461873104,0.8748024380097523,0.7113603823859735,0.5338247787610619,0.865859755010449
XGBoost,0.8222127027405065,0.02473789414882633,0.8350655166832283,0.04483945101932558,0.5873433863101456,0.033942111516242844,0.8700139801854204,0.7248365114178349,0.5447983293165741,0.860729264484379
Gradient Boosting,0.8449430845788084,0.02552597286197836,0.7804034199980745,0.06823368145424716,0.5783427877965569,0.041511038785040276,0.8652784705642007,0.7379216304099555,0.5663323336624313,0.8556555041759293
Linear Regression,0.7941186255897497,0.029640169671150265,0.898505585898981,0.04443879999693674,0.6903768352787978,0.03280456803855951,0.8287522619893418,0.8319632837334678,0.6519233363987822,0.8165202807028662
Ridge Regression,0.7952137263564273,0.02812649036693805,0.8965843184099189,0.04509502523716293,0.690150551216286,0.035145474515901116,0.8275305266908334,0.8349257533752845,0.6558970145359454,0.8152112785973215
AdaBoost,0.7888475489804894,0.02288993831469432,0.9126545837162332,0.06216190732037111,0.70992135989299,0.04176709284953235,0.8195588112912564,0.854003357873036,0.6932472695878983,0.8066701549549176
ElasticNet,0.7924149975231828,0.023950500317507367,0.904099127292666,0.04912886329354512,0.7001789760702775,0.04000773656724748,0.8177152029712182,0.8583550430398191,0.678316501231684,0.8046948603263052
Lasso Regression,0.7911138896390655,0.02364009947176669,0.9071294902497575,0.05108183595689796,0.7024215128287765,0.04220990997790581,0.8164841162355334,0.8612486780674073,0.6804459902294357,0.8033758388237858
Support Vector Regression,0.7942768855222362,0.053104788059324275,0.88954075337551,0.0782273745620143,0.6001395223618167,0.018451750840916614,0.8123293477988301,0.8709433754863604,0.6003267904386923,0.7989243012130323
Decision Tree,0.763972836596806,0.037367575028296414,0.9617574389573893,0.0734099251595721,0.6781818186944186,0.05937693730534841,0.7886237547069417,0.9243146323083746,0.6630427445398986,0.7735254514717232
